coordinates,nest_id
"(659, 28, 75, 77)",0
"(779, 28, 76, 72)",1
"(408, 37, 74, 77)",2
"(287, 45, 72, 76)",3
"(846, 130, 70, 81)",4
"(725, 132, 76, 84)",5
"(603, 134, 76, 82)",6
"(477, 141, 60, 79)",7
"(352, 149, 73, 77)",8
"(236, 158, 68, 75)",9
"(782, 232, 73, 84)",10
"(900, 233, 68, 77)",11
"(659, 237, 79, 86)",12
"(412, 251, 80, 80)",13
"(295, 254, 72, 84)",14
"(183, 264, 69, 80)",15
"(842, 341, 73, 83)",16
"(722, 343, 78, 92)",17
"(608, 350, 66, 88)",18
"(476, 354, 65, 89)",19
"(354, 360, 76, 93)",20
"(239, 365, 68, 90)",21
"(788, 457, 75, 71)",22
"(671, 466, 72, 65)",23
"(425, 477, 71, 68)",24
"(303, 480, 73, 68)",25
"(727, 546, 85, 142)",26
"(617, 558, 66, 92)",27
"(485, 564, 71, 143)",28
"(370, 569, 73, 98)",29
